1,Havyaka party,6/25/2014,This event is a celebration of the Havyaka Community,1,public,1,1,1,1,1
2,Community Lunch,6/25/2014,Join together to eat lunch!,1,public,1,1,1,1,1
3,Holi,6/25/2014,celebrate the color,1,private,1,1,1,1,1
4,Dinner party,6/25/2014,Community dinner party,1,public,1,2,1,1,1
5,Birthday party,6/25/2014,It is my daughters birthday party,1,private,1,2,1,1,1
6,Birthday Party,6/25/2014,Please join us to celebrate our daughter bday party,0,public,1,2,1,1,1
7,party party,6/25/2014,party time,0,public,1,3,1,1,1
8,party,6/25/2014,private party,0,private,2,3,1,1,1
9,cultural meet,6/25/2014,all are welcome,1,public,5,3,1,1,1
10,dance program,6/25/2014,dance till night,1,public,1,1,1,1,1
11,prayer together,6/25/2014,prayer to god,1,public,1,2,1,1,1
12,,,,,,,,,,
